docid,author,shorttitle,enumcron,firstpub,genres,subjects,allcopiesofwork,tags
uc2.ark+=13960=t80k2b055,"Surtees, Robert Smith","""Ask mamma"", or, The richest commoner in England",,1800,Fiction|UnknownGenre|Novel,,5,Novel B
uc1.b4512667,"Buchan, John",Prester John,,1910,NotFiction|Adventure stories|Fiction|UnknownGenre,"Scots|Clergy|Fiction in English, 1900-1945 - Texts|Fiction|Zulu (African people)|South Africa",10,Adventure
njp.32101067646842,"Hunt, Alfred William, Mrs",Thornicroft's model,,1874,NotFiction,,1,randomB
mdp.39015050741373,"Orloff, Alvin",I married an earthling : a novel,,2000,Love stories|Fiction|Science fiction,Human-alien encounters|Fiction|Gay youth,1,SF B|Love
mdp.39015076164162,"Zelvin, Elizabeth",Death will get you sober,,2008,Mystery fiction|Fiction,Alcoholics|Fiction,1,Mystery
uc2.ark+=13960=t0ft8dq8c,"Longstreet, Angustus Baldwin","Georgia scenes, characters, incidents, &c., in the first half century of the Republic",,1840,Bibliographies|Fiction|NotFiction,"American fiction|Social life and customs|Fiction|Fiction|Dialect literature, American|Georgia|Social life and customs|Humorous stories, American",10,Subj: Humor
mdp.39015032151824,"Siddons, Anne Rivers",Downtown : a novel,,1994,Fiction|Bildungsromane,Atlanta|Periodicals|Women journalists|Fiction|Young women|Georgia|Publishing|Man-woman relationships,1,Subj: Man-woman B
mdp.39015029044032,"Flanagan, Martin",Going away,,1993,Fiction,"Short stories, Australian",1,"Subj: Short stories, Other B"
mdp.39015081739206,,Subterranean gallery,,1999,Horror tales|Short stories,Detective and mystery stories,1,Horror
uiuo.ark+=13960=t73v05226,"James, G. P. R. (George Payne Rainsford)",The life and adventures of John Marston Hall,v.1,1834,Fiction,"France|Fiction|History|Louis XIV, 1643-1715",13,Subj: History B
mdp.39015034395270,"Moore, Alison",Synonym for love,,1995,Fiction|Bildungsromane,Fiction|Arizona|Young women|Deserts,1,Bildungsroman B
uc1.b4463154,"Knight, Damon",Late Knight edition,,1985,Fiction,"Science fiction, American|Science fiction",1,"Subj: SF, Other B"
uc1.$b245241,"Tullett, J. S",Tar White,,1962,NotFiction,,1,randomA
mdp.39015055799897,"Abse, Dannie",The strange case of Dr Simmonds & Dr Glas,,2002,Fiction,Nineteen fifties|London|England|Fiction|Deception|Physician and patient|Man-woman relationships,1,Subj: Man-woman B
mdp.39015084095390,"Peelle, Lydia",Reasons for and advantages of breathing,,2009,Fiction,"Short stories, American",1,"Subj: Short stories, American B"
mdp.39015002311556,"Burnett, Frances (Hodgson)",The secret garden,,1911,Juvenile audience|Fiction|NotFiction,Fiction|People with disabilities|Gardens|Gardening|Juvenile fiction|Orphans,4,Subj: Juvenile
osu.32435065345779,"Demaris, Ovid",Ride the gold mare,,1957,Mystery fiction|Fiction,,1,Mystery
inu.32000002990176,"Lester, Emma Service",A vagabond voyage through Brittany,,1915,NotFiction,Brittany|(OCoLC)fst01155558|fast|Description and travel|Travel|(OCoLC)fst01211633,1,randomB
mdp.39015076155715,"Smith, Mason",Towards Polaris : a novel of the Adirondack foothills,,2008,Suspense fiction|Fiction,Fiction,1,Suspense B
mdp.39015020682772,"Wilhelm, Richard",Chinese folktales,,1971,NotFiction,Fairy tales|Tales|China,2,Subj: Fairy tales
mdp.39015063940293,"Kyne, Peter B. (Peter Bernard)","Cappy Ricks; or, The subjugation of Matt Peasley",,1920,Fiction,,1,randomA
inu.30000123130233,"Poster, Jem",Rifling paradise,,2009,Novel|Psychological fiction|Historical fiction,Scientific expeditions|Social life and customs|Fiction|Naturalists|Australia|19th century,1,randomB|Psychological B
mdp.39015066705016,"Kahiga, Samuel",The girl from abroad,,1974,Fiction,,1,randomB
mdp.39015032393848,"Taylor, Bayard",Hannah Thurston: a story of American life,,1864,Fiction|NotFiction,,4,randomB
pst.000058531945,"LaHaye, Tim F",The rapture : in the twinkling of an eye : countdown to the earth's last days,,2006,NotFiction|Christian fiction|Fantasy fiction,"Rapture (Christian eschatology)|Fiction|Steele, Rayford (Fictitious character)",2,Christian|Fantasy
mdp.39015032599402,"Sagan, Françoise",Evasion,,1993,Domestic fiction|War stories|Fiction,"France|Fiction|Fiction|German occupation, 1940-1945|World War, 1939-1945|History",1,Domestic B
mdp.39015022243151,,The Second Blackstaff book of short stories,,1991,Fiction,"Irish authors|English fiction|Short stories, English",1,"Subj: Short stories, Other B"
pst.000012777891,"Serling, Rod",Night gallery 2,,1972,NotFiction,"Fantasy fiction, American",1,Subj: Fantasy B
osu.32435076976042,"Steggerda, Orville",No more a stranger,,1959,Fiction|Christian fiction,,1,Christian
mdp.39015062109072,"Adams, Douglas",Dirk Gently's Holistic Detective Agency,,1987,Fiction|NotFiction,"Fantasy fiction, English|Fantasy fiction",2,Subj: Fantasy B
uc2.ark+=13960=t2w37md98,"Henty, G. A. (George Alfred)",By conduct and courage;,,1904,,"Nelson, Horatio Nelson|Viscount|Juvenile fiction|1758-1805",4,Subj: Juvenile
mdp.39015058729727,"Lofts, Norah",The king's pleasure,,1969,Biographical fiction|Novel|Historical fiction,"Henry VIII, 1509-1547|Great Britain|1491-1547|Catharine|VIII|Queens|Henry|Fiction|King of England|History|of Aragon, Queen, consort of Henry VIII, King of England|1485-1536",1,Subj: History|Biographical
mdp.39015062465789,"Sinisalo, Johanna",Troll : a love story,,2004,Fiction,,2,randomA
mdp.39015032956552,,Raising the blinds : a century of South African womenʾs stories,,1990,Fiction,"Short stories, South African (English)|Women|Women authors|Fiction|South African fiction (English)|Tales|South Africa|Fiction|Social life and customs",1,"Subj: Short stories, Other"
uva.x000380956,"Verne, Jules","From the Earth to the Moon direct in ninety-seven hours and twenty minutes, and a trip round it",,1874,Fiction|Science fiction|NotFiction,Space flight to the moon|Fiction,8,SF
mdp.39015062863595,"Kertész, Imre",Fatelessness,,2005,Fiction,"Fiction|Holocaust, Jewish (1939-1945)|Auschwitz (Concentration camp)|Jewish children in the Holocaust",1,randomB
mdp.39015046807601,"Mason, F. van Wyck (Francis van Wyck)",The sea 'venture,,1961,Fiction,Sea Venture (Ship)|Fiction|History,1,Subj: History-Not-Subj: Juvenile
nyp.33433082284831,"Sturtevant, S. M. (Sarah Maria)","Sunshine and shade, or, The Denham family",,1849,Juvenile audience|Fiction,"Children's stories, American",1,Subj: Juvenile B
mdp.39015060593731,"Steinke, Rene",Holy skirts,,2005,Novel|Biographical fiction,"Fiction|Women artists|New York (State)|Bohemianism|Germans|1874-1927|Artists' models|Freytag-Loringhoven, Elsa von",1,Biographical
mdp.39015008191382,"Hughes, Thomas",Tom Brown's school days,,1868,Juvenile audience|Juvenile works|NotFiction|Novel|Fiction|UnknownGenre,"England|Juvenile fiction|Schoolboys|Endowed public schools (Great Britain)|Children's stories, English|19th century|Rugby School",13,Subj: Juvenile
uc2.ark+=13960=t56d64b31,,The Industries of Dublin,,1887,,Industries|Dublin (Ireland)|Ireland|Dublin|Commerce|History,1,randomB
mdp.39076002199045,"Gleit, Maria",Niko's mountains,,1946,Fiction,"Social life and customs|Children|Juvenile fiction|World War, 1939-1945",1,Subj: Juvenile
mdp.39015063991320,"Wyatt, Horace Matthew",Malice in Kulturland,,1915,NotFiction,"World War, 1914-1918|Humor",2,Subj: Humor B
mdp.39015076192676,"Anthony, Tom",Rebels of Mindanao : a novel,,2008,Suspense fiction|Fiction,Insurgency|United States|Terrorists|Philippines|Fiction|Undercover operations|Intelligence officers|Manobos (Philippine people)|Mindanao Island|Muslims,1,Suspense B
mdp.39015066016018,"Harrison, M. John (Michael John)",Viriconium,,2005,Novel|Science fiction,,1,Novel
mdp.39015061151828,"Mellick, Carlton",Satan Burger : an anti-novel,,2001,Novel|Satire|Alternative histories (Fiction)|Science fiction,Fiction|God|Soul|Gay men|Fast food restaurants|Devil|Future life|Interplanetary voyages,1,SF B
nyp.33433082525670,,Little Willie : a true story,,1864,Juvenile audience|NotFiction,,1,Juvenile
mdp.39076000770110,"Knebel, Fletcher",Dark horse,,1972,Fiction,,1,randomA
pst.000066451082,"Hines, Tia",Drama!,,2005,Fiction,Fiction|Brothers and sisters|Man-woman relationships|African Americans,1,Subj: Man-woman B
mdp.39015077107434,"Amsden, Christine",Touch of fate,,2007,Love stories|Fiction|Fantasy fiction,Murder|Fiction|Investigation|Clairvoyants|Mothers and daughters,1,Fantasy-Not-Christian
mdp.39015057626478,"Brewer, Steve",Fool's paradise,,2003,Fiction|Humorous fiction,Fiction|Bank robberies,1,Humor B
mdp.39015058134266,"Fermine, Maxence",The black violin : a novel,,2003,Fiction,Italy|Fiction|Violin makers|Violinists|Venice|Soldiers,1,randomB
mdp.39015059250764,"Morris, Mary McGarry",The lost mother,,2005,Novel|Domestic fiction|Psychological fiction|Historical fiction,Depressions|Fiction|Abandoned children|Motherless families,1,Domestic
mdp.39015061003615,"Basu, Sarasībālā",Prabal : a novel,,2004,Fiction,,1,randomB
uc1.b3331904,"Jamison, C. V. (Cecilia Viets)",Lady Jane,,1891,Fiction|UnknownGenre|NotFiction,,6,randomA
mdp.39015053140193,"Delany, Samuel R",The towers of Toron,,1964,Fiction|Science fiction,,1,SF
osu.32435066780065,"Westland, Lynn",Powdersmoke pass,,1937,Western stories|Fiction,Western stories|Mistaken identity|Cowboys|Fiction,1,Western
uc1.32106013188088,"Narayan, Kirin","Love, stars, and all that",,1994,Fiction,Berkeley|Women graduate students|Fiction|California|East Indians|Man-woman relationships,1,Subj: Man-woman
mdp.39015063166436,,"The Best of pirate writings : tales of fantasy, mystery & science fiction",v.1,1998,Mixed,"Detective and mystery stories, American|Science fiction, American|Fantasy fiction, American",1,"Subj: SF, American"
uc2.ark+=13960=t38054f9t,"Belloc, Hilaire",Pongo and the bull,,1910,NotFiction,,2,randomB
mdp.39015028685199,,The Alien condition,,1973,UnknownGenre,Science fiction,1,"Subj: SF, Other B"
mdp.39015062585248,"Hitchcock, Jane Stanton",One dangerous lady,,2005,Suspense fiction|Fiction,Social life and customs|Socialites|Fiction,1,Suspense B
inu.30000109276570,"Lawhead, Steve",Arthur,,1989,Fiction|Historical fiction|Fantasy fiction,Britons|Arthurian romances|Kings and rulers|Arthur|Fiction|King|History|To 1066|Adaptations,1,Fantasy B
nyp.33433076061922,"Whitney, A. D. T. (Adeline Dutton Train)",Ascutney street; a neighborhood story,copy 2,1890,Juvenile audience|Fiction|NotFiction,,3,Juvenile
mdp.39015082719298,"Frost, Toby",Isambard Smith and the God Emperor of Didcot,,2008,Humorous stories|Novel|Science fiction,Fiction|Human-alien encounters,1,SF B
iau.31858003799396,"Holmes, Hamilton","Old Rube, the hunter : or, The Crow captive",,1979,History|Fiction|Historical fiction,(OCoLC)fst00884242|fast|Fiction|(OCoLC)fst00969063|Indian captivities|History|Crow Indians,1,Subj: History
mdp.39015047868073,"Klein, Joe",The running mate : a novel,,2000,Fiction|Political fiction,"Veterans|United States|Vietnam War, 1961-1975|Fiction|Legislators",1,Political
pst.000008332837,,200 years of great American short stories,,1975,NotFiction,"Short stories, American",1,"Subj: Short stories, American"
mdp.39015047110856,"Targan, Barry",The ark of the Marindor,,1998,Adventure stories|Fiction,Fiction|Treasure troves|Women sailors,1,Adventure
inu.30000081106621,"Sauers, Victoria",Ulysses Grant : personal reflections : a novel,,1998,Fiction|Biographical fiction,"United States|(Ulysses Simpson)|Fiction|1822-1885|Generals|Presidents|Grant, Ulysses S",1,Biographical
pst.000021111594,,Science fiction of the thirties,,1975,NotFiction,"Science fiction, American",1,"Subj: SF, American B"
mdp.39015047443000,"Zahn, Timothy",The Icarus hunt,,1999,Fiction|Science fiction,,1,SF
mdp.39015025014336,"Blum, Robert S",The girl from the Emeraline Island,,1984,Fiction|Science fiction,,1,SF
hvd.hwjw3g,"Edgeworth, Maria",Moral tales,v.1,1821,Juvenile audience|Fiction|Anthologies|NotFiction,"English fiction|Conduct of life|Children's stories, English|Children's literature|Juvenile literature",11,Subj: Juvenile
mdp.39015040364153,"Makepeace, Maggie",The would-begetter,,1997,Love stories|Fiction,,1,Love B
mdp.39015032316286,"McIntyre, Vonda N",The crystal star,,1994,Fiction|Science fiction,Fiction|Imaginary wars and battles,1,SF B
mdp.39015061468073,"Chais, Pamela",Final cut : a novel,,1981,Novel,,2,Novel-Not-Mystery
wu.89057817041,"Lindgren, Torgny","In praise of truth : the personal account of Theodore Marklund, picture-framer",,1994,Fiction,Forgery|Sweden|Fiction,1,randomA
mdp.39015005444396,Amrita Pritam,49 days : a novel,,1981,Fiction,,1,randomB
uc2.ark+=13960=t88g8g727,"Holmes, Mary Jane",Rose Mather,,1868,Fiction,"History|Civil War, 1861-1865|American fiction|Fiction",3,Subj: History B
mdp.39015061004530,"Yarbrough, Steve",The oxygen man,,1999,Domestic fiction|Fiction,Fiction|Racism|Catfish fisheries,1,Domestic B
mdp.39015064575080,"Morgan, (Sydney), Lady",Florence Macarthy : an Irish tale,v.2,1818,Fiction,"Suffield, Edward Harbord, Baron|Fiction|Bookplate, Armorial|Provenance",8,randomA
uva.x000193340,,Fairy tales,,1910,Juvenile audience|Fiction,Children's stories|Fairy tales,1,Subj: Fairy tales
nyp.33433082285663,"Whittier, John Greenleaf",Child life in prose,,1873,Fiction|Juvenile audience,Children's stories,4,Subj: Juvenile B
uc1.$b114472,"Neider, Charles",Men of the high calling,,1954,NotFiction,Short stories,1,randomB
mdp.39015050316986,"Kellerman, Faye",Prayers for the dead,,1996,Fiction|Detective and mystery stories,"Decker, Peter (Fictitious character)|Lazarus, Rina (Fictitious character)|Fiction|California|Police|Los Angeles",1,Mystery B
mdp.39015051332222,,Assamese short stories : an anthology,,1982,Fiction,"Short stories, Assamese",1,randomB
osu.32435063112643,"Dewey, Thomas Blanchard",The girl with the sweet plump knees : an original novel,,1963,Fiction|Detective and mystery stories,"Fiction|Schofield, Pete (Fictitious character)",1,Mystery
nyp.33433074791504,"Kitchin, William Charles",Paoli: the last of the missionaries; a picture of the overthrow of the Christians in Japan in the seventeenth century,,1890,Historical fiction|Fiction|Christian fiction,Christians|Fiction|17th century|Jesuits|History|Japan|Missionaries,1,Christian
mdp.39015016884499,Halldór Laxness,A Quire of seven,,1974,Fiction,,1,randomB
mdp.39015056507794,"Sharma, Prem",Mandalay's child,,1999,Domestic fiction|Fiction|Historical fiction,"Fiction|Japanese occupation, 1942-1945|History|Partition, 1947",1,Domestic B
hvd.32044014453831,"Croker, Thomas Crofton",Fairy legends and traditions of the South of Ireland,v.1,1826,UnknownGenre|NotFiction,Scotland|Ireland|Legends|Folklore|Mabinogion,7,randomB
wu.89006957310,"Picken, Andrew",The black watch,1,1834,Fiction,"George II, 1727-1760|English fiction|Great Britain|Fiction|History",7,randomA
mdp.39015014778784,,The Bread Loaf anthology of contemporary American short stories,,1987,Bibliographies|Fiction,"Short stories, American|American fiction|20th century",1,"Subj: Short stories, American"
mdp.39015014667003,"Dickens, Charles",Great expectations,,1850,Bildungsromane|Bibliographies|NotFiction|Fiction,"Social conditions|Young men|Revolution, 1789-1799|Social life and customs|Fiction|Benefactors|Man-woman relationships|19th century|Orphans|England|Fiction|Social life and customs|Revenge|History|Ex-convicts",27,Subj: Man-woman B
uc1.32106014451881,"Marsh, Ngaio",The collected short fiction of Ngaio Marsh,,1991,Fiction|NotFiction,"Detective and mystery stories, New Zealand|Literary collections|Crime",2,Subj: Detective
mdp.39015050772782,"Christensen, Kate",Jeremy Thrane,,2001,Psychological fiction|Fiction,Fiction|Gay men|Socialites|Authorship|Novelists,1,Psychological
uc1.b3962048,"Turgenev, Ivan Sergi︠e︡evích",The torrents of spring,,1897,NotBiographical|NotFiction|Fiction|UnknownGenre,,15,randomB
mdp.39015042418593,"Lee, Russell",The almost complete collection of true Singapore ghost stories,v.6,1989,NotFiction,Singapore|Ghosts,2,Subj: Horror B
mdp.39015056801825,"Duane, Diane",Support your local wizard,,1990,NotFiction,Fantasy|Science fiction,1,"Subj: SF, Other"
mdp.39015055451705,"Chandler, Raymond","The big sleep ; &, Farewell, my lovely",,1995,Bibliographies|Fiction,"Detective and mystery stories, American|Fiction|California|Los Angeles|Private investigators|Marlowe, Philip (Fictitious character)",3,randomB
mdp.39015063870193,"Gillies, R. P. (Robert Pearse)",Tales of a voyager to the Arctic Ocean,v.3,1826,Fiction,,3,randomA
inu.30000011374307,"MacDonald, George",Lilith,,1969,Fiction|Fantastic fiction,,1,Fantasy
uc1.$b245170,"Warner, Rex",Return of the traveller,,1944,NotFiction,,2,randomA
mdp.49015002699131,,Fantastic tales : visionary and everyday,,1998,NotFiction,Fiction|Fantasy fiction|Translations into English|19th century,1,Subj: Fantasy
pst.000050047673,,From Heinlein to here,no.3,1977,NotFiction,"Science fiction, American|Science fiction, English",1,"Subj: SF, American"
mdp.39015061470384,,The Shub-Niggurath cycle : tales of the black goat with a thousand young,,1994,Short stories|Horror fiction,"Fiction|Horror tales, American|Horror tales, English|Goats",1,Horror
uc1.b4354459,,Planets of wonder : a treasury of space opera,,1976,Fiction,"Science fiction, American",1,"Subj: SF, American-Not-Short stories"
njp.32101066122670,"Hare, T. Truxtun (Thomas Truxtun)",A senior quarter-back,,1910,Juvenile audience|NotFiction,,1,Juvenile
uc1.b3321378,"Cooper, James Fenimore",The Heidenmauer,v. 22,1859,Fiction,,1,randomA
mdp.39015059135841,"Boylan, Clare",Emma Brown,,2004,Suspense fiction|Fiction|Historical fiction,Fiction|Girls|Boarding schools|Identity (Psychology),1,Suspense
nyp.33433022846566,"Miller, J. (Joaquin)",Unwritten history: life amongst the Modocs,,1874,Fiction|Historical fiction|NotFiction,Modoc Indians|Fiction,3,Historical
mdp.39015079206010,"Bose, Rana",The fourth canvas,,2008,Suspense fiction|Fiction,"(OCoLC)fst00845101|(OCoLC)fst00797476|Canadian fiction|fast|Adventure stories, Canadian",1,Suspense
mdp.39015074282966,"Gordimer, Nadine",Beethoven was one-sixteenth black : and other stories,,2007,Fiction,,1,randomB
inu.32000007285408,"Hildebrandt, Rainer",The explosion; the uprising behind the Iron Curtain,,1955,NotFiction,"Uprising, 1953|History",1,Subj: History B
mdp.39015047717866,"Hopkinson, Nalo",Brown girl in the ring,,1998,Fiction|Science fiction,"Toronto|Fiction|Ontario|Future, The, in popular culture|Inner cities|Obeah (Cult)",1,SF B
pst.000017894845,,Invasions : Isaac Asimov's magical worlds of science fiction #10,,1990,NotFiction,"Science fiction, American|Science fiction, English",1,"Subj: SF, American B"
mdp.39015033066138,"Merlis, Mark",American studies,,1994,Psychological fiction|Fiction,United States|Fiction|Anti-communist movements|Gay men|College teachers|Psychological fiction,1,Psychological
mdp.39015060098822,"Brooks, Terry",Tanequil,,2004,Novel|Fantasy fiction,Fiction|Shannara (Imaginary place),1,Fantasy
uc1.32106013174070,"Ferguson, Trevor",The fire line : a novel,,1995,Fiction,,1,randomA
mdp.39015041070767,,Queer view mirror 2 : lesbian & gay short short fiction,,1997,Fiction,"Lesbians|Canadian fiction|Fiction|Canada|Gay men|Gays' writings, Canadian|20th century|Short stories, Canadian",1,"Subj: Short stories, Other B"
mdp.39015069302381,"Tolkien, J. R. R. (John Ronald Reuel)",Narn i chîn Húrin : the tale of the children of Húrin,,2007,Fiction|Fantasy fiction,Fiction|Middle Earth (Imaginary place),1,randomA
uc1.b3545502,"Merril, Judith",Beyond the barriers of space and time,,1954,NotFiction,Science fiction|Fantasy fiction,2,"Subj: Fantasy-Not-Subj: SF, American|Subj: Fantasy B|Subj: SF, Other"
mdp.39015048709714,"De la Mare, Walter",Memoirs of a midget,,1921,NotFiction|Psychological fiction|Fiction|UnknownGenre|Bildungsromans,Circus performers|Difference (Psychology)|Young women|Short people|Fiction|Dwarfs,10,Bildungsroman
uiuo.ark+=13960=t2m61w50c,,"The fair Carew, or, Husbands and wives",v.2,1851,,,1,randomB
mdp.39015064128203,"Shahid, Farzana Hassan",Echoes from the abyss : novel : a story about child prostitution,,2004,Novel,,1,Novel B
mdp.39015060593301,"LaHaye, Tim F",The rising : Antichrist is born : before they were left behind,,2005,Novel|Christian fiction|Fantasy fiction,"Antichrist|Fiction|Rapture (Christian eschatology)|Steele, Rayford (Fictitious character)",1,Christian|Fantasy
uc1.$b253966,,Caribbean anthology of short stories,,1953,Short stories,"Short stories, Caribbean (English)|Caribbean literature",2,"Short stories|Subj: Short stories, Other B"
mdp.39015018600646,"Twain, Mark","The American claimant, and other stories and sketches",,1898,Fiction|UnknownGenre|NotFiction,"American wit and humor|Joan|Voyages around the world|Description and travel|Christian Science|1412-1431|of Arc, Saint",10,Subj: Humor
mdp.39015048931573,"Caputo, Philip",The voyage,,1999,Frame-stories|Adventure stories|Fiction|Domestic fiction,Fathers and sons|Fiction|Brothers,1,Domestic B
mdp.39015066133912,"Whitaker, Tu-Shonda L",Flip side of the game,,2004,Fiction,African American women|Man-woman relationships|Fiction,1,Subj: Man-woman
uc1.b3872886,"Graves, Robert",The Golden Fleece,,1944,Fiction|Fantasy fiction,Fiction|Argonauts (Greek mythology),2,Fantasy B
nyp.33433084130032,"Ayr, Landis",A priest and a woman,,1900,Novel,American fiction,1,Novel
inu.39000005538306,,Estonian fairy tales,,1981,NotFiction,Estonia|Fairy tales|Tales,1,Subj: Fairy tales
mdp.39015030855665,"Bates, Ralph",The olive field,,1936,Fiction,"Republic, 1931-1939|Fiction|History",2,Subj: History B
mdp.49015003479079,"Amis, Martin",Night train : a novel,,1997,Psychological fiction|Fiction,Suicide victims|Policewomen|Fiction,1,Psychological
mdp.39015017434062,"Tremblay, William",The June rise : the apocryphal letters of Joseph Antoine Janis,,1994,War stories|Fiction|Epistolary fiction|Biographical fiction,"Indians of North America|Great Plains|Trappers|Fiction|French Americans|Wars|Janis, Joseph Antoine|Colorado|b. 1824|Government relations",2,War|Biographical
mdp.39015048931581,"Singer, Katie",The wholeness of a broken heart,,1999,Domestic fiction|Fiction,Fiction|New York|New York (State)|Jews,1,Domestic
mdp.39015048835873,"Morris, Mary McGarry",Fiona Range,,2000,Domestic fiction|Bildungsromane|Fiction,"Veterans|Vietnam War, 1961-1975|Fiction|Young women|Fathers and daughters",1,Bildungsroman
nyp.33433074845839,"Conklin, David Bruce",Russell Ryder,,1902,Juvenile works|NotFiction|Fiction,Family|Juvenile fiction|Families,1,Subj: Juvenile B
pst.000026646565,"Nugent, Madeline Pecora","St. Anthony :  words of fire, life of light",,1995,NotFiction|Bibliographies|Christian fiction|Biographical fiction,"of Padua, Saint|Civilization, Medieval|Italy|Fiction|Anthony|13th century|Christian saints|1195-1231",1,Christian|Biographical-Not-Historical
mdp.39015005062339,"Aldiss, Brian Wilson","Last orders, and other stories",,1977,Fiction,"Science fiction, English",1,"Subj: SF, Other"
mdp.39015067671696,"Rāẏa, Sābitrī",Harvest song : a novel on the Tebhaga movement,,2005,Fiction,,2,randomA
loc.ark+=13960=t1wd4rz2d,"Grendon, Felix",Will he come back?,,1916,,,1,randomA
mdp.39015073495791,"Philips, Ian",See Dick deconstruct : literotica for the satirically bent,,2001,Fiction,"Fiction|Gay men|Erotic stories, American",1,randomA
uc2.ark+=13960=t5cc11081,"Mus?_us, Johann Karl August",Legends of Number Nip,,1864,,Folklore|Germany|Fairy tales,2,Subj: Fairy tales
uc1.b4951578,"Sturgeon, Theodore",The dreaming jewels,,1977,Fiction|Science fiction|NotFiction,,2,SF
mdp.39015052394841,"Varley, John",The Persistence of vision,,1978,Fiction,"Science fiction, American",2,"Subj: SF, American B"
mdp.39015060064964,"Roberts, Adam (Adam Charles)",Swiftly : stories that never were and might not be,,2004,Fiction,"Science fiction, English",1,"Subj: SF, Other B"
uc2.ark+=13960=t72v2dz5n,Erckmann-Chatrian,Madame Th??r??se,,1904,,,2,randomB
mdp.39015067085475,"Stockton, Frank Richard","The queen's museum, and other fanciful tales",,1906,NotFiction|Children's stories|New York|Juvenile literature|New York (State)|Science fiction,United States|Fairy tales|Science fiction,1,SF B
mdp.39076005205393,,The best from Fantasy and science fiction,,1952,UnknownGenre,"Science fiction|Fantasy fiction|Magazine of fantasy and science fiction (Cornwall, Conn.)",1,"Subj: SF, Other B"
osu.32435059293068,"White, Randall M",A guy named Joe,,1944,NotFiction,,1,randomB
mdp.39015032713102,"Mapson, Jo-Ann",Blue rodeo : a novel,,1994,Domestic fiction|Love stories|Fiction,New Mexico|Fiction|Women artists|Mothers and sons|Man-woman relationships,2,Subj: Man-woman B
njp.32101068599065,"Harte, Bret","Mrs. Skagg's husbands, and other sketches",,1873,Fiction|NotBiographical|NotFiction,"Western stories|Short stories, American",9,"Subj: Short stories, American B"
mdp.39015057658851,"Major, Marcus",A family affair,,2004,Domestic fiction|Fiction,Adultery|African American families|Fiction,1,randomA
pst.000027462249,,Tales of terror,,1943,NotFiction,Horror tales,1,Subj: Horror
mdp.39015082684104,"Forbes, Elena",Our lady of pain,,2008,Novel|Detective and mystery stories,London|England|Fiction|Serial murder investigation|Police,1,Mystery B
mdp.39015064983938,"Traviss, Karen",Sacrifice,,2007,Star Wars fiction|Fiction|Science fiction,,1,SF B
mdp.39015080872354,"Bolton, S. J",Awakening,,2009,Novel|Suspense fiction,Recluses|Fiction|Snakebites|Rites and ceremonies|Women veterinarians,1,Suspense
mdp.49015002396076,"Dickens, Charles",Christmas books,,1885,Fiction,,1,randomA
mdp.39015002306564,,Science fiction hall of fame,v.2A,1970,Fiction,"Science fiction, American|Science fiction, English",1,"Subj: SF, American"
mdp.39015041314884,"Askew, Rilla",The mercy seat : a novel,,1997,Domestic fiction|Western stories|Fiction,Choctaw Indians|Fiction|Families|Frontier and pioneer life|Brothers,1,Western
inu.30000081762639,"Child, Lincoln",Utopia : a novel,,2002,Suspense fiction|Fiction|Science fiction,Criminals|Robots|Fiction|Amusement parks,1,Suspense B
mdp.39015027912206,"Reynolds, Quentin James","70,000 to 1; the story of Lieutenant Gordon Manuel",,1946,NotFiction,"Personal narratives, American|World War, 1939-1945|New Britain (Island)",2,randomA
inu.30000095161539,"Jasper, Kenji",Seeking Salamanca Mitchell : a novel,,2004,Psychological fiction|Love stories|Fiction,Criminals|Single mothers|Fiction|African American men|Ex-convicts|Adult child abuse victims,1,Psychological
nyp.33433074926209,,The enchiridion of wit. The best specimens of English conversational wit,,1885,NotFiction,English wit and humor,1,Subj: Humor
mdp.39015025002331,"Potok, Chaim",I am the clay,,1992,War stories|Fiction,"Fiction|Korean War, 1950-1953",2,War
pst.000019431864,"Matane, Paulias",Aimbe--the magician,,1978,NotFiction,,1,randomB
mdp.39015024954649,"Barnes, Linda",Steel guitar,,1991,Fiction|Detective and mystery stories,Women detectives|Fiction,1,Subj: Detective
pst.000061170797,"Gibson, Rachel",Tangled up in you,,2007,Fiction,Love stories|Fiction|Family secrets|Man-woman relationships,1,Subj: Man-woman|randomB
uc2.ark+=13960=t39z92n8p,"Stewart, Donald Ogden",A parody outline of history,,1921,,"Humor, caricatures, etc|United States|Parodies|History",4,Subj: History
uc1.$b63992,"Wykes, Frances Mallory",The lady and the looking-glass,,1955,Fiction,,1,randomB
nyp.33433068198260,"Madame d' Aulnoy, (Marie-Catherine)","The court of Queen Mab: containing a select collection of only the best, most instructive, and entertaining tales of the fairies: viz. 1. Graciosa and Percinet. 2. The fair one with golden locks. 3. The blue bird. 4. The invisible prince. 5. The princess Vereneta. 6. The princess Rosetta. 7. The golden bough. 8. The orange tree and the bee. 9. The little good mouse",,1752,NotFiction,Fairy tales,1,Subj: Fairy tales|randomB
mdp.39015060113563,"King, Danny",The pornographer diaries,,2004,Novel|Humorous stories,Sex-oriented periodicals|Pornography|Fiction,1,randomB
mdp.39015014974029,,To be made over : tales of socialist reeducation in Vietnam,,1988,Fiction,"Short stories, Vietnamese|Vietnam War, 1961-1975|Fiction|Short stories, English|Personal narratives, Vietnamese|Communism|Brainwashing|Translations into English|Vietnam|Translations from Vietnamese",1,"Subj: Short stories, Other B"
